anoun,adjective
ΛΆΘΟΣ,erroneous
whispering: slanderous,slanderous
good,good
loved,loved
injurious,injurious
not-working,nonworking
blameless,blameless
licentious,licentious
unmixed,unmixed
truthful,truthful
of another family,alien
another's,
non-transferable,non-transferable
shameless,shameless
unworthy,unworthy
for a man,manly
merciless,merciless
imperceptive,imperceptive
irresponsible,irresponsible
useless,useless
lawless,lawless
unfaithful,unfaithful
undisciplined,undisciplined
untried,untried
uncircumcised,uncircumcised
not to be filled,unfillable
remaining over,remaining
carrying away,carrying
male,male
irreverent,irreverent
infirm,infirm
uncomprehending,uncomprehending
safe from violence,safe
ungracious,ungracious
holy,holy
sinful,sinful
senseless,senseless
territorial,territorial
multitude of people,populous
select,selective
merciful,merciful
giving alms,almsgiving
free,free
information,informative
straitened,straitened
glorious,glorious
liable,liable
faithful,faithful
celestial,celestial
in extreme old age,aged
at one's own fireside,homebound
seventh,seventh
each,each
voluntary,voluntary
one,singular
one,singular
sixty years old,sixty-year-old
different,different
ready,ready
forceful,forceful
properly sacred,sacred
sacred,sacred
lazy,lazy
swift-writing,swift
upright,upright
orphaned,orphaned
responsible,responsible
wanton,wanton
proud,proud
highest,highest
great,great
new,new
senior,senior
first,first
weighty,weighty
better,better
great,great
first,first
smallest,smallest
outer,outer
inner,inner
sweet,sweet
clear,clear
regal,regal
sweet,sweet
shaggy,shaggy
right,right
leather,leather
twin,twin
twentieth,twentieth
well-rounded,well-rounded
well-based,well-based
easily paid for,affordable
sweet-smelling,fragrant
female,female
captured by wild animals,wild
dead body,dead
clean,clean
innovative,innovative
bad,bad
going down,descending
of clay,clay-like
common,common
scarlet,scarlet
blessed,blessed
magnificent,magnificent
raised from the ground,grounded
of wood,wooden
all,all
thick,thick
flat,flat
needy,needy
fiftieth,fiftieth
broad,broad
feet,
of many years,ancient
frequently swearing,frequent
forerunner,forerunning
winged,winged
grain field,grainy
closely shaded,shady
fortieth,fortieth
fourteenth,fourteenth
fourth,fourth
thirtieth,thirtieth
thirteenth,thirteenth
adamantine,adamantine
impossible,impossible
guiltless,guiltless
unclean,unclean
like a grove,grovelike
human,human
worthy,worthy
perpetual,perpetual
top,top
male,male
guarantee,guaranteed
ninth,ninth
continuous,continuous
inward thought,introspective
valued,valued
one in ten,tenth
of wool,woolen
last,last
seventieth,seventieth
each individually,individual
hundredth,hundredth
eleventh,eleventh
sixtieth,sixtieth
sixth,sixth
sweet-voiced,sweet-voiced
half,half
his own,personal
adequate,adequate
equal,equal
eightieth,eightieth
eighth,eighth
eighteenth,eighteenth
few,few
hinder,hindering
of clay,clay-like
intact,intact
whole,whole
healthy,healthy
wet,wet
very fearful,fearful
high,high
patched,patched
sordid,sordid
eternal,eternal
dipped,dipped
weighty,weighty
known,known
naked,naked
prisoner,prisoner
two-edged,double-edged
shaggy,shaggy
wretched,wretched
tenth,tenth
acceptable,acceptable
acceptable,acceptable
two hundred,two hundred
diaphanous,diaphanous
made in net fashion,netted
two thousand,two thousand
hard to describe,indescribable
cunning,cunning
straight,straight
well-known,well-known
easy to pass,passable
well-aimed,well-aimed
female,female
of cedar,cedar-like
clean,clean
bad,bad
bad,bad
fine,fine
fine,fine
bent,bent
hollow,hollow
invited,invited
superior,superior
secret,secret
secret,secret
stone,stony
thin,thin
rest,restful
superficial,superficial
superficial,superficial
blessed,blessed
great,great
little,little
hired hand,hired
myriad,myriad
household member,household
all-variegated,variegated
five thousand,five thousand
five hundred,five hundred
bitter,bitter
faithful,faithful
rich,rich
much,much
much,much
harmful,harmful
harmful,harmful
prone,prone
how much?,how much?
all,all
of a siren,siren-like
dignified,dignified
of iron,iron
warped,warped
dark,dark
wise,wise
waterproof,waterproof
likely to make one stumble,stumbling
bodily,bodily
salvation,salvific
complete,complete
wretched,wretched
four-cornered,quadrilateral
four hundred,four hundred
such,such
worked in relief,relief-worked
three hundred,three hundred
triple,triple
threefold,threefold
three thousand,three thousand
fond of brothers,brotherly
of copper,coppery
thousand,thousand
of brass,brass-like
of gold,golden
soulish,soulful
good,good
non-discriminatory,non-discriminatory
uncovered,uncovered
truthful,truthful
truthful,truthful
another's,another's
both,both
unreasonable,unreasonable
face to face,face-to-face
of silver,silvery
weak-minded,weak-minded
pure,pure
injurious,injurious
fruitless,fruitless
flawless,flawless
untimely,untimely
favorite slave,favored
holy,holy
select,selective
light,light
mine,mine
mine,mine
of a year,yearly
six thousand,six thousand
six hundred,six hundred
700,seven hundred
very bright,bright
last,last
different,different
forceful,forceful
forceful,forceful
800,eight hundred
few,few
upright,upright
firm,firm
firm,firm
like,alike
as much as,as much as
high,high
that may be taken,takeable
producing many at a birth,prolific
senior,senior
earlier,earlier
fond of children,child-loving
grasping,greedy
first,first
Abraham,Abrahamic
Hasidean,Hasidean
Israelite,Israelite
bashful,bashful
captive,captive
clear,clear
cause,causal
profane,profane
heavy,heavy
regal,regal
better,better
suitable to one's birth,noble
earthborn,earthborn
sweet,sweet
known,known
well-known,well-known
knowing one's letters,literate
naked,naked
naked,naked
prisoner,prisoner
twin,twin
right,right
right,right
wretched,wretched
wretched,wretched
timid,timid
faint-hearted,faint-hearted
acceptable,acceptable
second,second
speckled,speckled
two hundred,two hundred
eminent,eminent
educated,educated
twenty thousand,twenty thousand
two thousand,two thousand
possible,possible
possible,possible
full of ill-will,ill-willed
cunning,cunning
peaceful,peaceful
of good hope,hopeful
in good repute,reputable
conscientious,conscientious
commended,commended
of good size,sizable
well-disposed,well-disposed
decent,decent
spacious,spacious
reverent,reverent
well-girdled,well-girdled
stimulatedly,stimulated
easily satisfied,easily satisfied
of good courage,courageous
lethal,lethal
bold,bold
wonderful,wonderful
lusty,lusty
passionate,passionate
holding fast,steadfast
clean,clean
clean,clean
innovative,innovative
doing bad,immoral
bad,bad
fine,fine
fine,fine
strong,strong
weary,weary
left behind,left behind
very bitter,very bitter
held in possession,possessed
in affliction,afflicted
hollow,hollow
hollow,hollow
invited,invited
light,light
dominant,dominant
dominant,dominant
superior,superior
pastoral,pastoral
mute,mute
mute,mute
of a swan,swan-like
stone,stony
leprous,leprous
thin,thin
white,white
white,white
poor,poor
pestilence,pestilent
rest,restful
fit for battle,battle-ready
black,black
in the midst,central
associate,associated
blessed,blessed
blessed,blessed
long-lived,long-lived
long-lived,long-lived
soft,soft
of marble,marble-like
great,great
high-souled,high-souled
raised from the ground,grounded
hired hand,hired
stupid,foolish
stupid,foolish
only,only
new,new
minor,minor
mariner,maritime
new,new
alien,alien
of wood,wooden
household member,household
all,all
resident,resident
resident,resident
pale,pale
rich,rich
crafty,crafty
acting contrary to law,unlawful
of a leopard,leopard-like
on foot,pedestrian
five hundred,five hundred
gilded,gilded
overlaid with silver,silver-plated
overflowing,overflowing
bitter,bitter
faithful,faithful
faithful,faithful
sideways,sideways
broad,broad
more,more
rich,rich
various,various
belonging to war,martial
belonging to war,martial
much,much
much,much
of many days,lengthy
for a long time,
for a long time,long-term
harmful,harmful
harmful,harmful
acceptable,acceptable
fresh,fresh
earlier,earlier
earlier,earlier
winged,winged
fiery red,fiery red
fiery red,fiery red
made of flesh,fleshy
of iron,iron
fattened,fattened
hard-hearted,hard-hearted
hard,hard
warped,warped
wise,wise
wise,wise
wise,wise
ashy,ashy
pardoned,pardoned
comprehending,comprehending
called together,convened
commingled,commingled
planted together,planted
sensible,sensible
safe,safe
suffering,suffering
four,four
fourth,fourth
precious,precious
humble,humble
humble,humble
quick,quick
observer of omens,ominous
four times ten thousand,forty thousand
four hundred,four hundred
nursing,nursing
nursing,nursing
such,such
as much,as much as
three,three
third,third
three hundred,three hundred
three thousand,three thousand
delicate,delicate
blind,blind
blind,blind
friend,friendly
bright,bright
exposed,exposed
foul,foul
fond of learning,learning-oriented
quarrelsome,quarrelsome
tributary to,tributary
shuddered at,shuddering
of copper,coppery
thousand,thousand
of brass,brass-like
graceful,graceful
bright,bright
of yesterday,recent
serviceable,serviceable
suitable,
of gold,golden
of gold,golden
numerous,numerous
lame,lame
lame,lame
psalm singer,psalm-singing
dappled,dappled
dappled,dappled
without harm,harmless
good,good
good,good
loved,loved
loved,loved
that will not stand up to examination,scrutinizable
unexpected,unexpected
impossible,impossible
guiltless,guiltless
guiltless,guiltless
unclean,unclean
unmoved,unmoved
self-indulgent,indulgent
ΣΩΣΤΌ,correct
truthful,truthful
truthful,truthful
another's,another's
foreigner,foreign
dimly seen,dim
ambidextrous,ambidextrous
both,both
without hearing,deaf
unconquered,unconquered
shameless,shameless
innumerable,countless
innumerable,countless
for a man,manly
blasted by gales,wind-battered
human,human
imperceptive,imperceptive
unprofitable,unprofitable
undisciplined,undisciplined
obstinate,obstinate
not diawn hither and thither,wandering
uncircumcised,uncircumcised
hateful,hateful
without want of more,abundant
born,born
inactive,inactive
of silver,silvery
purchased with silver,silver-acquired
easily numbered,numerous
chief of a tribe,tribal chief
irreverent,irreverent
infirm,infirm
unhurt,unharmed
uncomprehending,uncomprehending
without end,endless
obscure,obscure
thick,thick
sinful,sinful
sinful,sinful
unmarried,unmarried
wild,wild
blameless,blameless
absurd,absurd
husbandless,husbandless
lawless,lawless
worthy,worthy
worthy,worthy
not to be filled,unfillable
without toil,effortless
male,male
well-pleased,pleased
childless,childless
dishonored,dishonored
senseless,senseless
senseless,senseless
holy,holy
holy,holy
all at once,simultaneous
territorial,territorial
select,selective
select,selective
ivory,ivory
free,free
contrary,contrary
straitened,straitened
continuous,continuous
dumbfounded,dumbfounded
of a year,yearly
900,nine hundred
taken out,extracted
plotting against,plotting
called upon,summoned
choice,choice
remaining time,remaining
arbiter,arbiter-like
cursed,cursed
cursed,cursed
expert,expert
necessities,necessary
reproached,reproachful
each individually,individual
six thousand,six thousand
six hundred,six hundred
seven thousand,seven thousand
700,seven hundred
wearied,wearied
in the fire,fiery
glorious,glorious
some,some
in arms,armed
bound by oath,oath-bound
liable,liable
liable,liable
valued,valued
trembling,trembling
special,special
last,last
on horseback,horseback
different,different
ready,ready
ready,ready
our own,our own
half,half
worse,worse
forceful,forceful
forceful,forceful
sacred,sacred
adequate,adequate
adequate,adequate
equal,equal
lazy,lazy
eight thousand,eight thousand
few,few
fewest,fewest
morose,morose
notable,notable
notable,notable
upright,upright
orphaned,orphaned
firm,firm
with the whole root,rooted
of like experience,experienced
visible,visible
like,alike
responsible,responsible
responsible,responsible
as much as,as much as
healthy,healthy
listening,listening
contrary,contrary
proud,proud
overjoyed,overjoyed
under the hand,subordinate
high,high
high,high
supremus,supreme
attractive,attractive
spotted,spotted
strong of body,strong
weighty,weighty
regal,regal
possible,possible
light,light
more,more
senior,senior
senior,senior
hard,hard
luminous,luminous
free,free
forceful,forceful
forceful,forceful
sharp,sharp
latter,latter
regarded with reverence,revered
profane,profane
loathsome,loathsome
twin,twin
acceptable,acceptable
acceptable,acceptable
double,double
subject,subject
obedient,obedient
blooming,blooming
decent,decent
easy to pass,passable
wonderful,wonderful
bad,bad
fruit-bearing,fruitful
left behind,left behind
with downcast eyes,downcast
hollow,hollow
hold,hold
superior,superior
secret,secret
white,white
superficial,superficial
raised from the ground,grounded
little,little
musician,musical
suffering hardship,suffering
blamed,blamed
swimming,swimming
withered,withered
kind that,kind
of mingled tribes,mixed
paradoxical,paradoxical
thick,thick
encircled by a colonnade,encircled
gilded,gilded
overlaid with silver,silver-plated
bird,avian
faithful,faithful
much,much
much,much
much,much
prolific,prolific
acceptable,acceptable
early,early
how much?,how much?
your,yours
wise,wise
diligent,diligent
narrow,narrow
commingled,commingled
shut up,shut-up
quick,quick
last,last
four thousand,four thousand
far-shining,far-shining
plated with hair,hair-like
fearful,fearful
shuddered at,shuddering
fierce,fierce
of dry land,terrestrial
suitable,suitable
formed of cast metal,cast-like
sung as psalms,psalm-sung
good,good
loved,loved
impossible,impossible
unclean,unclean
truthful,truthful
truthful,truthful
unspeakable,unspeakable
incurable,incurable
merciless,merciless
hidden away,hidden
easily numbered,easily numbered
original,original
secure,secure
without end,endless
pure,pure
uneatable,uneatable
wild,wild
speechless,speechless
another,another
absurd,absurd
unremarkable,unremarkable
unsuitable,unsuitable
holy,holy
holy,holy
of the sea,maritime
free,free
apparent,evident
mine,mine
contrary,contrary
in the face,faced
listening,listening
notorious,notorious
cursed,cursed
seven thousand,seven thousand
descendant,descendant
lonesome,lonesome
last,last
ready,ready
adequate,adequate
hinder,hindering
orphaned,orphaned
firm,firm
late,late
pledge for the maintenance of unity,unity-pledging
responsible,responsible
high,high
sweet,sweet
wise,wise
trustworthy,trustworthy
tender,tender
Egyptian,Egyptian
wretched,wretched
Hebrew,Hebrew
Moabite,Moabite
Moabite,Moabite
modest,modest
eternal,eternal
automatically,automatic
profane,profane
deep,deep
weighty,weighty
fine linen,fine
suitable to one's birth,suitable to one's birth
old,old
sweet,sweet
dark,dark
known,known
naked,naked
naked,naked
two-edged,two-edged
wretched,wretched
faint-hearted,faint-hearted
timid,timid
fearful,fearful
tenth,tenth
acceptable,acceptable
second,second
wretched,wretched
at the public cost,at the public cost
red-hot,red-hot
right,right
bipartite,bipartite
double,double
cunning,cunning
possible,possible
possible,possible
full of ill-will,full of ill-will
genuine,genuine
peaceful,peaceful
peaceful,peaceful
straight,straight
commended,commended
decent,decent
pretty,pretty
spacious,spacious
reverent,reverent
thankful,thankful
easily handled,easily handled
easy to pass,easy to pass
conspicuous,conspicuous
hot,hot
female,female
lethal,lethal
wonderful,wonderful
divine,divine
wished for,wished for
God-revering,God-revering
God-revering,God-revering
hot,hot
hot,hot
bold,bold
clean,clean
innovative,innovative
innovative,innovative
bad,bad
ill-disposed,ill-disposed
doing bad,doing bad
using bad arts,using bad arts
bad,bad
fine,fine
made of reed,made of reed
fine,fine
fruitful,fruitful
very dry,very dry
tyranny,tyrannical
in affliction,in affliction
hollow,hollow
hollow,hollow
invited,invited
hold,hold
light,light
dominant,dominant
dominant,dominant
treacherously,treacherous
radiant,radiant
thin,thin
thin,thin
white,white
white,white
finally,finally
painful,painful
black,black
black,black
one,one
blessed,blessed
long,long
soft,soft
superficial,superficial
great,great
idle,idle
brimming,brimming
not even one,not even one
stained,stained
little,little
hateful,hateful
only child,only child
only child,only child
only,only
dead,dead
by night,by night
by night,by night
alien,alien
withered,withered
of wood,of wood
household member,household member
pitiable,pitiable
no one,no one
no one,no one
incidental,incidental
belonging to one's father,paternal
fifth,fifth
all-powerful,all-powerful
paternal,paternal
flat,flat
flat,flat
on foot,on foot
five hundred,five hundred
surrounding territory,surrounding
overflowing,overflowing
bitter,bitter
faithful,faithful
faithful,faithful
broad,broad
out of tune,out of tune
rich,rich
of what kind,of what kind
longed for,longed for
various,various
of battle,of battle
much,much
much,much
much-wailing,much-wailing
much-tangled,much-tangled
early,early
conspicuous,conspicuous
how much?,how much?
all,all
all,all
your,your
made of flesh,made of flesh
dignified,dignified
silent,silent
of iron,of iron
crooked,crooked
warped,warped
dark,dark
wise,wise
mourned,mourned
narrow,narrow
solid,solid
solid,solid
twisted,twisted
relative,relative
comprehending,comprehending
all together,all together
short,short
closely shaded,closely shaded
your,your
humble,humble
humble,humble
quick,quick
last,last
fourth,fourth
far-shining,far-shining
far-shining,far-shining
nursing,nursing
such,such
hardihood,hardihood
worked in relief,worked in relief
as much,as much
third,third
rough,rough
rough,rough
of three years,of three years
thrice-unhappy,thrice-unhappy
threefold,threefold
delicate,delicate
for a despotic ruler,for a despotic ruler
friend,friendly
baldheaded,baldheaded
exposed,exposed
fearful,fearful
prudent,prudent
fierce,fierce
of brass,of brass
joyful,joyful
wintry,wintry
of winter,of winter
verdure,verdant
one who melts gold,one who melts gold
of gold,of gold
ΛΆΘΟΣ,ΛΆΘΟΣ
good,good
doing good,doing good
good,good
loved,loved
loved,loved
wild,wild
infallible,infallible
undying,undying
guiltless,guiltless
unsettled,unsettled
unveiled,unveiled
unswerving,unswerving
heard,heard
exact,exact
exact,exact
painful,painful
truthful,truthful
truthful,truthful
another's,another's
unfading,unfading
untainted,untainted
dimly seen,dimly seen
dimly seen,dimly seen
sandy,sandy
unconquered,unconquered
immense,immense
unembarrassed,unembarrassed
unquestioned,unquestioned
human,human
worthy,worthy
uninhabited,uninhabited
undaunted,undaunted
hidden away,hidden away
cut off,cut off
accommodating,accommodating
original,original
urbane,urbane
secure,secure
discordant,discordant
disagreeable,disagreeable
unwalled,unwalled
holy,holy
pure,pure
salty,salty
salty,salty
tender,tender
simple,simple
uncalled,uncalled
lawless,lawless
waterless,waterless
waterless,waterless
worthy,worthy
unendurable,unendurable
having no hope of safety,having no hope of safety
pledge put into the hand: surety,surety
sinking in hollows,sinking in hollows
select,select
select,select
inferior,inferior
mine,mine
in the number,in the number
valued,valued
likely,likely
called upon,called upon
notorious,notorious
praiseworthy,praiseworthy
longed for,longed for
highest mysteries,highest mysteries
last,last
seventh,seventh
each,each
curved,curved
seven-towered,seven-towered
towards evening,towards evening
different,different
ready,ready
early,early
heavy with child,heavy with child
abiding by,abiding by
implanted,implanted
trembling,trembling
hostile,hostile
sixth,sixth
sweet,sweet
his own,his own
forceful,forceful
forceful,forceful
adequate,adequate
equal,equal
eighth,eighth
painful,painful
eight thousand,eight thousand
few,few
notable,notable
sharp,sharp
sharp,sharp
at dawn,at dawn
upright,upright
intact,intact
like,like
by the same father,by the same father
whole,whole
as much as,as much as
excellent,excellent
excellent,excellent
high,high
high,high
attractive,attractive
suitable to one's birth,suitable to one's birth
decent,decent
easily paid for,easily paid for
greater,greater
new,new
longed for,longed for
senior,senior
fond of children,fond of children
for a man,for a man
superior,superior
lord,lord
great,great
only,only
various,various
first,first
precious,precious
ΣΩΣΤΌ,ΣΩΣΤΌ
high,high
Abraham,Abraham
Israelite,Israelite
praiseworthy,praiseworthy
praiseworthy,praiseworthy
modest,modest
unexpected,unexpected
captive,captive
eternal,eternal
blood-sucking,blood-sucking
clear,clear
cause,cause
self-centered,self-centered
self-sufficient,self-sufficient
automatically,automatic
sprung from the land itself,sprung from the land itself
looking dry,looking dry
slanderous,slanderous
violent,violent
deep,deep
weighty,weighty
weighty,weighty
abominable,abominable
better,better
blasphemous,blasphemous
slow of tongue,slow of tongue
gluttonous,gluttonous
ridiculous,ridiculous
suitable to one's birth,suitable to one's birth
fathered,fathered
sweet,sweet
talkative,talkative
known,known
well-known,well-known
discharge,discharge
discharge,discharge
naked,naked
naked,naked
tenth,tenth
tenth,tenth
belonging to the people,belonging to the people
speaking two languages,bilingual
one who is at variance,at variance
right,right
right,right
shaggy,shaggy
shaggy,shaggy
timid,timid
timid,timid
fearful,fearful
fearful,fearful
acceptable,acceptable
right,right
second,second
twofold,twofold
double,double
possible,possible
possible,possible
ungodly,ungodly
hard to take in hand,hard to take in hand
twelfth,twelfth
cunning,cunning
hard to use,hard to use
twentieth,twentieth
twentieth,twentieth
peaceful,peaceful
one,one
easy to be taken,easy to be taken
delightful,delightful
very merciful,very merciful
noble,noble
of good courage,of good courage
straightforward,straightforward
easy to be despised,easy to be despised
of good report,of good report
conscientious,conscientious
commended,commended
commended,commended
of good size,of good size
musical,musical
changeable,changeable
fashionable,fashionable
well-grown,well-grown
well-named,well-named
well-known,well-known
well-known,well-known
sweetly-speaking,sweetly-speaking
well-minded,well-minded
receptive,receptive
of good courage,of good courage
enviable,enviable
wonderful,wonderful
divine,divine
eaten by beasts,eaten by beasts
mortal,mortal
bold of heart,bold of heart
bold,bold
passionate,passionate
sweating profusely,sweating profusely
clean,clean
clean,clean
innovative,innovative
working perversely,working perversely
bad,bad
ill-minded,ill-minded
bad,bad
fine,fine
fine,fine
strong,strong
left behind,left behind
afraid,afraid
very eager to,very eager to
hollow,hollow
hollow,hollow
slit-nosed,slit-nosed
light,light
dominant,dominant
dominant,dominant
superior,superior
superior,superior
just the one,just the one
pastoral,pastoral
like a beast,beast-like
dog-like,dog-like
curved,curved
mute,mute
furious,furious
leprous,leprous
leprous,leprous
white,white
smooth,smooth
shiny,shiny
reviling,reviling
pestilence,pestilential
pestilence,pestilential
finally,finally
painful,painful
paying what is due,paying what is due
superficial,superficial
great,great
drunken,drunken
in the midst,in the midst
blessed,blessed
deemed,deemed
long time,long time
patient,patient
long,long
magnificent,magnificent
with great wings,great-winged
very glorious,glorious
with a great name,great-named
brimming,brimming
raised from the ground,raised from the ground
not even one,not even one
not even one,not even one
not even one,not even one
stained,stained
little,little
hateful,hateful
hateful,hateful
hired hand,hired hand
hired hand,hired hand
solitary,solitary
lightly armed,lightly armed
stupid,stupid
stupid,stupid
only,only
new,new
minor,minor
thoughtful,thoughtful
legal,legal
slow of mind,slow of mind
slothful,slothful
alien,alien
withered,withered
of wood,of wood
household member,household member
inhabited,inhabited
home-born,home-born
home-born,home-born
compassionate,compassionate
kind that,kind
no one,no one
no one,no one
no one,no one
no one,no one
resident,resident
resident,resident
fifth,fifth
of clay,of clay
old,old
all-holy,all-holy
crafty,crafty
all-seeing,all-seeing
most lamentable,most lamentable
coastal,coastal
acting contrary to law,acting contrary to law
frenzy-stricken,frenzy-stricken
being in part the cause,part-causing
stranger,stranger
fifteenth,fifteenth
looked at from all sides,looked at from all sides
grief-stricken,grief-stricken
surround on every side,surrounded
complementary,complementary
overflowing,overflowing
bitter,bitter
faithful,faithful
faithful,faithful
errant,errant
full,full
much,much
rich,rich
belonging to war,warlike
one of many,one of many
very merciful,very merciful
of many days,long-standing
for a long time,
frequently swearing,frequently swearing
very experienced,very experienced
much,much
much,much
harmful,harmful
harmful,harmful
fornicator,fornicator
drunk,drunk
of what kind,of what kind
of what kind,of what kind
meek,meek
gentle,gentle
springing forward,springing forward
rash,rash
firstborn,firstborn
firstborn,firstborn
firstborn,firstborn
predisposed,predisposed
early,early
fresh,fresh
at hand,at hand
suffering from disease of the eyelids,suffering from eyelid disease
bankrupt,bankrupt
burnt in fire,burnt in fire
flaming with fire,flaming
wheat-bearing,wheat-bearing
red,red
fiery red,fiery red
all,all
fattened,fattened
hard-hearted,hard-hearted
stiff-necked,stiff-necked
stiff-necked,stiff-necked
hard,hard
hard,hard
warped,warped
dark,dark
wise,wise
wise,wise
wise,wise
narrow,narrow
narrow,narrow
hated,hated
relative,relative
pardoned,pardoned
comprehending,comprehending
comprehending,comprehending
clouded over,clouded over
long,long
one who hammers,hammering
your,your
commingled,commingled
commingled,commingled
planted together,planted together
foster brother,foster-brother
sensible,sensible
your,your
suffering,suffering
complete,complete
fourth,fourth
precious,precious
wretched,wretched
humble,humble
humble,humble
quick,quick
bringing to an end,bringing to an end
fourteenth,fourteenth
such,such
worked in relief,worked in relief
third,third
thrice-sinful,thrice-sinful
thirteenth,thirteenth
on the third day,on the third day
delicate,delicate
blind,blind
friend,friendly
baldheaded,baldheaded
foul,foul
sparing,sparing
corruptible,corruptible
envious,envious
fond of brothers,fond of brothers
avaricious,avaricious
loving sin,sin-loving
merciful,merciful
fond of women,fond of women
fearful,fearful
fearful,fearful
murderous,murderous
prudent,prudent
falling to the ground,ground-falling
gaping,gaping
of winter,wintry
of dry land,dry
green,green
suitable,suitable
suitable,suitable
Anointed,Anointed
gold,gold
of gold,of gold
poured,poured
lame,lame
lame,lame
whispering: slanderous,slanderous
psalm singer,psalm-singer
of plaster,of plaster
ΛΆΘΟΣ,ΛΆΘΟΣ
cold,cold
ever-flowing,ever-flowing
helpless,helpless
good,good
good,good
loved,loved
inflexible,inflexible
impossible,impossible
not-working,non-working
undying,undying
without observation,unobserved
guiltless,guiltless
guiltless,guiltless
unclean,unclean
unclean,unclean
wanting the heart,heart-wanting
unmoved,unmoved
not to be swallowed,un-swallowable
untameable,untameable
unequipped,unequipped
spotless,spotless
following,following
ΣΩΣΤΌ,ΣΩΣΤΌ
truthful,truthful
truthful,truthful
ΣΩΣΤΌ,ΣΩΣΤΌ
of another family,of another family
of another family,
another's,another's
unreasoning,irrational
unchewed,unchewed
carefree,carefree
unmeasured,unmeasured
unspeakable,unspeakable
without pain,painless
out of reach,unreachable
not to be healed,incurable
without hearing,compulsory
not malleable,non-malleable
incurable,incurable
compulsory,compulsory
shameless,shameless
innumerable,innumerable
bald on the forehead,balding
for a man,masculine
for a man,masculine
husband murderer,uxoricidal
unfailing,unfailing
merciless,merciless
blasted by gales,windblasted
human,human
opponent,opposing
opponent,opposing
not to be surpassed,unsurpassable
unsuspected,unsuspected
barefoot,barefoot
not to be withstood,unresistable
useless,useless
unlike,unlike
above,above
trustworthy,trustworthy
unlamented,unlamented
interminable,interminable
undisciplined,undisciplined
obstinate,obstinate
obstinate,obstinate
uncircumcised,uncircumcised
unpurified,unpurified
ungentle,ungentle
without want of more,unneedy
unexpected,unexpected
born,born
purchased with silver,silver-purchased
irreverent,irreverent
irreverent,irreverent
infirm,infirm
infirm,infirm
urbane,urbane
uncomprehending,uncomprehending
unavenged,unavenged
obscure,obscure
obscure,obscure
ungracious,ungracious
unprofitable,unprofitable
invisible,invisible
air,airy
pure,pure
sinful,sinful
sinful,sinful
tender,tender
tender,tender
untrodden,untrodden
untrodden,untrodden
unknown,unknown
wild,wild
rustic,rustic
supperless,supperless
injurious,injurious
inglorious,inglorious
ill-timed,ill-timed
blameless,blameless
fruitless,fruitless
unwillingly,unwilling
speechless,speechless
absurd,absurd
faultless,faultless
without share in,
flawless,flawless
husbandless,husbandless
without understanding,uncomprehending
worthy,worthy
without hesitation,unhesitating
untried,untried
unaffected,unaffected
not to be filled,unfillable
doing nothing,idle
best,best
without roots,unrooted
male,male
without roof,roofless
childless,childless
dishonored,dishonored
without fear,fearless
senseless,senseless
voiceless,voiceless
without grace,graceless
unsuitable,unsuitable
untimely,untimely
holy,holy
holy,holy
all at once,simultaneous
rapacious,rapacious
ventriloquizing,ventriloquistic
infiltrator,infiltrating
infiltrator,infiltrating
with fortitude,fortitudinal
territorial,territorial
select,selective
select,selective
inferior,inferior
light,light
merciful,merciful
pitiful,pitiful
ivory,ivory
free,free
wanting,wanting
apparent,apparent
mine,mine
mine,mine
mine,mine
straitened,straitened
straitened,straitened
skilful,skillful
in the face,confrontational
beyond what is ordained,beyond ordained
known,known
choice,choicest
choice,choicest
caught,captured
remaining time,remaining
mixed,mixed
perjured,perjured
wherein one feels joy,joyful
obeyed,obeyed
towards the right,rightward
in want of,needy
fair,fair
cravings,craving
cursed,cursed
longish,longish
necessities,necessary
manifest,manifest
manifest,manifest
gratifying,gratifying
reproached,reproachful
rebellious,rebellious
wanton,wanton
each individually,individual
sixteenth,sixteenth
willing,willing
willing,willing
eleventh,eleventh
seventeenth,seventeenth
early,early
early,early
cast out of,exiled
vindicator,vindicative
out of one's mind,deranged
terrified,terrified
terrified,terrified
experienced,experienced
afraid,afraid
ninth,ninth
glorious,glorious
in-dwelling: an inhabitant,indwelling
liable,liable
liable,liable
valued,valued
trembling,trembling
bloodless,bloodless
dislocated,dislocated
houseless,houseless
out of slumber,sleepless
last,last
with a white speck on,speckled
on horseback,equestrian
equal,equal
equal,equal
seventh,seventh
each,each
sixth,sixth
different,different
ready,ready
Epiphanes,epiphanic
sweet,sweet
sweet,sweet
our own,ours
half-dead,half-dead
half dead,half-dead
worse,worse
worse,worse
written with one’s own hand,handwritten
checked in one's voice,voice-checked
checked in one's voice,voice-checked
forceful,forceful
forceful,forceful
bold,bold
properly sacred,sacred
sacred,sacred
adequate,adequate
adequate,adequate
his own,his own
equal,equal
merciful,merciful
merciful,merciful
lazy,lazy
lazy,lazy
eighteenth,eighteenth
few,few
fewest,fewest
fewest,fewest
lasting,lasting
short-lived,short-lived
morose,morose
notable,notable
quick to anger,irritable
sharp,sharp
disease whereby the body is drawn back and stiffens,spasmodic
passionate,passionate
upright,upright
orphaned,orphaned
firm,firm
firm,firm
wayfarer,wayfaring
eighth,eighth
at dawn,at dawn
late,late
whole,whole
like,like
like,like
responsible,responsible
responsible,responsible
healthy,healthy
healthy,healthy
wet,wet
cutting,cutting
woody,woody
sung of,sung
swollen,swollen
contrary,contrary
